,ID,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
194,,1/30/24,1898 & Co.,Assistant Electrical Engineer – 1898 & Co. Utility Consulting (Multiple Locations),"Dallas, TX","Description  The Assistant Electrical Engineer or Power & Utilities Analyst will work under the supervision of a consultant or project manager to assist with developing solutions to technical and economic challenges encountered by our power and utility clients. The Power & Utilities Analyst will assist with power system studies that evaluate power plants (both fossil fuel and renewable) and delivery systems (transmission and distribution) and include but are not limited to, power supply planning, due diligence, performance and benchmarking evaluations, site assessments, investment planning, condition assessments, financial cost/benefit evaluations, and renewable development.  About 1898 & Co.  1898 & Co. is a business, technology and security solutions consultancy where experience and foresight come together to unlock lasting advancements. We innovate today to fuel our clients’ future growth, catalyzing insights that drive smarter decisions, improve performance and maximize value. As part of Burns & McDonnell, we draw on more than 120 years of deep and broad experience in complex industries as we envision and enable the future for our clients.   Analyzes, interprets, and applies engineering, financial, and economic conditions, theories, and principles to complete assigned tasks regarding technical and business implications to client projects. Applies basic knowledge of commonly used engineering and financial concepts, practices, codes, and procedures within the consulting services industry. Assists with analyzing life-cycle costs by developing and incorporating technical assumptions regarding capital costs, operation and maintenance costs, performance estimates, and economic assumptions and forecasts. Assists project team with technical assessments that evaluate impacts associated with rules implemented by regulatory agencies. Assists with designing, reviewing, and modifying drawings for project requirements that are set forth by the project managers. Supports power system planning and operations analysis, including power flow, transient, stability, short circuit, electromagnetic transients, reliability, and economic dispatch. Performs technical, engineering, economic, and financial studies involving planning and operations for utility projects. Supports transmission/distribution study analysis utilizing power system software. Supports engineering, technical, and economic assessments for both fossil and/or renewable generation. Support technical and business-related risk assessments. Support developing and performing detailed financial analysis using a variety of computer-based software. Support developing technical reports and presentations summarizing results of analysis. Support preparation of client presentations, engineering reviews, financial analysis, and contract administration for the design/planning of utility systems. Support Utility Consulting business lines as required by clients. Performs other duties as assigned. Complies with all policies and standards.   Qualifications   Bachelor Degree in Electrical Engineering or related degree from an ABET accredited program required or; Bachelor Degree in Electrical or related Engineering Technology from an ABET accredited program and successful completion of Fundamentals of Engineering (FE) exam required. Prior internship and/or related consulting experience preferred. Basic knowledge in standard electrical engineering techniques, principles and procedures. Effective written and verbal communication skills. Ability to work methodically and analytically in a quantitative problem-solving environment and demonstrated critical thinking skills. Proficient computer skills (e.g. Microsoft Office Suite). Strong attention to detail, facilitation, team building, collaboration, organization and problem-solving skills. Demonstrated leadership skills. Engineers in Training-EIT Certification preferred. Minimum of a 3.0 GPA strongly preferred. Involvement on campus or in the community preferred. Candidates must be legally authorized to work permanently (i.e., without time limitations, without restrictions or without need for work sponsorship) in the country where this position is located.   EEO/Minorities/Females/Disabled/Veterans  Job Engineering  Primary Location US-TX-Houston  Other Locations US-TX-Austin, US-TX-Dallas  Schedule: Full-time  Travel: Yes, 15 % of the Time  About 1898 & Co.  1898 & Co. is a business, technology and security solutions consultancy where experience and foresight come together to unlock lasting advancements. We innovate today to fuel our clients’ future growth, catalyzing insights that drive smarter decisions, improve performance and maximize value. As part of Burns & McDonnell, we draw on more than 120 years of deep and broad experience in complex industries as we envision and enable the future for our clients.  Burns & McDonnell is an Equal Opportunity Employer Minorities/Females/Disabled/Veterans  Req ID: 233702 Job Hire Type New Grad  #E98 N/A  ",Entry level,Full-time,Engineering and Information Technology,Business Consulting and Services,https://www.linkedin.com/jobs/view/assistant-electrical-engineer-%E2%80%93-1898-co-utility-consulting-multiple-locations-at-1898-co-3697493349?refId=RgUshvtk2kyLVn1E3IsvUQ%3D%3D&trackingId=%2Fw265G0yJsYb1L3eHODdeg%3D%3D&position=20&pageNum=7&trk=public_jobs_jserp-result_search-card
195,,1/26/24,California Therapy Services,Home Health Occupational Therapist (OT),"Menifee, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3815827412?refId=RgUshvtk2kyLVn1E3IsvUQ%3D%3D&trackingId=zi3Y%2F%2FTGWfPyMqDKQwbLKA%3D%3D&position=21&pageNum=7&trk=public_jobs_jserp-result_search-card
196,,1/30/24,California Therapy Services,Home Health Occupational Therapist (OT),"West Hollywood, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3817465047?refId=RgUshvtk2kyLVn1E3IsvUQ%3D%3D&trackingId=fCKAdvMbDTigqCiUKuk4mg%3D%3D&position=22&pageNum=7&trk=public_jobs_jserp-result_search-card
197,,1/25/24,California Therapy Services,Home Health Occupational Therapist (OT),"Palm Springs, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3814998355?refId=RgUshvtk2kyLVn1E3IsvUQ%3D%3D&trackingId=UCuCed0d0idhOMugzbfA2w%3D%3D&position=23&pageNum=7&trk=public_jobs_jserp-result_search-card
198,,1/25/24,California Therapy Services,Home Health Occupational Therapist (OT),"Inglewood, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3814091461?refId=RgUshvtk2kyLVn1E3IsvUQ%3D%3D&trackingId=EIcVtxTqlLgnNn30mK8wHw%3D%3D&position=24&pageNum=7&trk=public_jobs_jserp-result_search-card
199,,1/30/24,Burns & McDonnell,Assistant Electrical Engineer- Protection Applications (Kansas City),"Kansas City, MO","Description  The Assistant Electrical Engineer will assist project teams to create world class designs for new projects, alterations and redevelopments on a variety of projects including power, process, corporate, healthcare, airports, institutional, industrial, manufacturing, government and military facilities. The Assistant Electrical Engineer will work with the project team throughout the design and construction process, adapting electrical plans according to budget constraints, design factors or client needs.   Assists in the electrical design of projects from the conceptual phase through design completion. Assists with modifying and reviewing production drawings for a variety of projects including, but not limited to: power plants, process facilities, industrial facilities, healthcare facilities, airports, educational institutions, commercial, and governmental and military facilities. Assists in designing electrical components for project needs and requirements that are set forth by the project managers. Applies basic knowledge of commonly used electrical concepts, practices, codes, and procedures within the electrical engineering services industry. Assists with research and complies project related data as required by the project managers. Assists with correcting and updating drawings provided by senior engineers to verify corrections are made within multiple CAD related software. Assists with client presentations, shop drawing review, and contract administration for the design of power, process, industrial, healthcare, airports, educational institutions, commercial, and governmental and military facilities. Assists in performing field inspections, measurements or calculations for public and private clients. Performs other duties as assigned Complies with all policies and standards   Qualifications   Bachelor Degree in Electrical Engineering or related degree from an ABET accredited program or; Bachelor Degree in Electrical or related Engineering Technology from an ABET accredited program and successful completion of Fundamentals of Engineering (FE) exam. Prior internship and/or related consulting experience preferred Basic knowledge in standard electrical engineering techniques, principles and procedures. Excellent written and verbal communication skills. Ability to work methodically and analytically in a quantitative problem-solving environment and demonstrated critical thinking skills. Proficient computer skills (e.g. Microsoft Office Suite) Basic computer skills include electrical analysis programs (e.g., RISA), AutoCAD, BIM (e.g., Revit and Tekla), programs. Strong attention to detail, facilitation, team building, collaboration, organization and problem solving skills. Demonstrated leadership skills. Engineers in Training-EIT Certification preferred. Minimum of a 3.0 GPA strongly preferred. Involvement on campus or in the community preferred. Candidates must be legally authorized to work permanently (i.e., without time limitations, without restrictions or without need for work sponsorship) in the country where this position is located.   EEO/Minorities/Females/Disabled/Veterans  Job Electrical Engineering  Primary Location US-MO-Kansas City  Other Locations United States  Schedule: Full-time  Travel: Yes, 25 % of the Time  Req ID: 234322 Job Hire Type New Grad  #T&D  ",Not Applicable,Full-time,Engineering and Information Technology,Construction,https://www.linkedin.com/jobs/view/assistant-electrical-engineer-protection-applications-kansas-city-at-burns-mcdonnell-3732430644?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=hLRt%2F2zI%2FHklcwVWIZ6%2BxQ%3D%3D&position=1&pageNum=8&trk=public_jobs_jserp-result_search-card
200,,1/30/24,Burns & McDonnell,Assistant Distribution Engineer - Distribution Modernization (Detroit),"Detroit, MI",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/assistant-distribution-engineer-distribution-modernization-detroit-at-burns-mcdonnell-3731438404?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=AUFdkXaK5v%2FYqDvarSmE4A%3D%3D&position=2&pageNum=8&trk=public_jobs_jserp-result_search-card
201,,1/28/24,California Therapy Services,Home Health Occupational Therapist (OT),"Los Angeles, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3816449315?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=XLdeqTePQdoDM2B9%2BS%2FYvQ%3D%3D&position=3&pageNum=8&trk=public_jobs_jserp-result_search-card
202,,1/28/24,California Therapy Services,Home Health Occupational Therapist (OT),"Altadena, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3816449316?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=aXrKmMnZJ1NSoFvQXDRQEw%3D%3D&position=4&pageNum=8&trk=public_jobs_jserp-result_search-card
203,,1/28/24,California Therapy Services,Home Health Occupational Therapist Assistant (COTA),"Cerritos, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapist Assistants with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs, Theraguns, and more! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-assistant-cota-at-california-therapy-services-3816584544?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=d0tIu2cu0rzjulZTRLPl6w%3D%3D&position=5&pageNum=8&trk=public_jobs_jserp-result_search-card
204,,1/29/24,California Therapy Services,Home Health Occupational Therapist (OT),"Pasadena, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3817187785?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=ba6LGc0kI4qBwnk9oj%2FPqg%3D%3D&position=6&pageNum=8&trk=public_jobs_jserp-result_search-card
205,,1/30/24,1898 & Co.,Assistant Electrical Engineer – 1898 & Co. Utility Consulting (Multiple Locations),"Houston, TX","Description  The Assistant Electrical Engineer or Power & Utilities Analyst will work under the supervision of a consultant or project manager to assist with developing solutions to technical and economic challenges encountered by our power and utility clients. The Power & Utilities Analyst will assist with power system studies that evaluate power plants (both fossil fuel and renewable) and delivery systems (transmission and distribution) and include but are not limited to, power supply planning, due diligence, performance and benchmarking evaluations, site assessments, investment planning, condition assessments, financial cost/benefit evaluations, and renewable development.  About 1898 & Co.  1898 & Co. is a business, technology and security solutions consultancy where experience and foresight come together to unlock lasting advancements. We innovate today to fuel our clients’ future growth, catalyzing insights that drive smarter decisions, improve performance and maximize value. As part of Burns & McDonnell, we draw on more than 120 years of deep and broad experience in complex industries as we envision and enable the future for our clients.   Analyzes, interprets, and applies engineering, financial, and economic conditions, theories, and principles to complete assigned tasks regarding technical and business implications to client projects. Applies basic knowledge of commonly used engineering and financial concepts, practices, codes, and procedures within the consulting services industry. Assists with analyzing life-cycle costs by developing and incorporating technical assumptions regarding capital costs, operation and maintenance costs, performance estimates, and economic assumptions and forecasts. Assists project team with technical assessments that evaluate impacts associated with rules implemented by regulatory agencies. Assists with designing, reviewing, and modifying drawings for project requirements that are set forth by the project managers. Supports power system planning and operations analysis, including power flow, transient, stability, short circuit, electromagnetic transients, reliability, and economic dispatch. Performs technical, engineering, economic, and financial studies involving planning and operations for utility projects. Supports transmission/distribution study analysis utilizing power system software. Supports engineering, technical, and economic assessments for both fossil and/or renewable generation. Support technical and business-related risk assessments. Support developing and performing detailed financial analysis using a variety of computer-based software. Support developing technical reports and presentations summarizing results of analysis. Support preparation of client presentations, engineering reviews, financial analysis, and contract administration for the design/planning of utility systems. Support Utility Consulting business lines as required by clients. Performs other duties as assigned. Complies with all policies and standards.   Qualifications   Bachelor Degree in Electrical Engineering or related degree from an ABET accredited program required or; Bachelor Degree in Electrical or related Engineering Technology from an ABET accredited program and successful completion of Fundamentals of Engineering (FE) exam required. Prior internship and/or related consulting experience preferred. Basic knowledge in standard electrical engineering techniques, principles and procedures. Effective written and verbal communication skills. Ability to work methodically and analytically in a quantitative problem-solving environment and demonstrated critical thinking skills. Proficient computer skills (e.g. Microsoft Office Suite). Strong attention to detail, facilitation, team building, collaboration, organization and problem-solving skills. Demonstrated leadership skills. Engineers in Training-EIT Certification preferred. Minimum of a 3.0 GPA strongly preferred. Involvement on campus or in the community preferred. Candidates must be legally authorized to work permanently (i.e., without time limitations, without restrictions or without need for work sponsorship) in the country where this position is located.   EEO/Minorities/Females/Disabled/Veterans  Job Engineering  Primary Location US-TX-Houston  Other Locations US-TX-Austin, US-TX-Dallas  Schedule: Full-time  Travel: Yes, 15 % of the Time  About 1898 & Co.  1898 & Co. is a business, technology and security solutions consultancy where experience and foresight come together to unlock lasting advancements. We innovate today to fuel our clients’ future growth, catalyzing insights that drive smarter decisions, improve performance and maximize value. As part of Burns & McDonnell, we draw on more than 120 years of deep and broad experience in complex industries as we envision and enable the future for our clients.  Burns & McDonnell is an Equal Opportunity Employer Minorities/Females/Disabled/Veterans  Req ID: 233702 Job Hire Type New Grad  #E98 N/A  ",Entry level,Full-time,Engineering and Information Technology,Business Consulting and Services,https://www.linkedin.com/jobs/view/assistant-electrical-engineer-%E2%80%93-1898-co-utility-consulting-multiple-locations-at-1898-co-3697489873?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=q74YPTIo%2FREmscCzxbEflA%3D%3D&position=7&pageNum=8&trk=public_jobs_jserp-result_search-card
206,,1/29/24,California Therapy Services,Home Health Occupational Therapist (OT),"Adelanto, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapists with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3817189452?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=21CbjEgTJesVZm62QUJy%2Bg%3D%3D&position=8&pageNum=8&trk=public_jobs_jserp-result_search-card
207,,1/29/24,California Therapy Services,Home Health Occupational Therapist (OT),"Los Angeles, CA",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-ot-at-california-therapy-services-3817190347?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=jHdUr5%2BcJXhmWCtpBKjL5A%3D%3D&position=9&pageNum=8&trk=public_jobs_jserp-result_search-card
208,,1/26/24,California Therapy Services,Home Health Occupational Therapist Assistant (COTA),"San Gabriel, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapist Assistants with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs, Theraguns, and more! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-assistant-cota-at-california-therapy-services-3815831380?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=ye4cLTLF9V6JOPUCjGKXEQ%3D%3D&position=10&pageNum=8&trk=public_jobs_jserp-result_search-card
209,,1/26/24,California Therapy Services,Home Health Occupational Therapist Assistant (COTA),"Inglewood, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapist Assistants with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs, Theraguns, and more! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-assistant-cota-at-california-therapy-services-3815827480?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=JgrknTf3JLysukP%2BLbIVcw%3D%3D&position=11&pageNum=8&trk=public_jobs_jserp-result_search-card
210,,1/26/24,California Therapy Services,Home Health Occupational Therapist Assistant (COTA),"Lawndale, CA","We are looking to hire highly motivated, organized, and skilled Occupational Therapist Assistants with an attitude to continously learn, improve, and provide our patient's with the best care possible!  Why California Therapy Services?  We have been the industry leader throughout Southern California for nearly a decade. We have a very high referral volume that allows our therapists to stay closer to home than our competition. We also have our own in house Nurse Case Manager to provide the highest level of clinical support to you! Here's a few other benefits of our company:   New to home health? New grad? We provide a 1 on 1 orientation that fully educates in the rules, regulations, protocols, and everything you need to know to be successful in home health. The easiest documentation software available. Most notes can be completed during your visit. We're digital. We do not have paper route sheets signed. Signatures are captured electroncially on whatever device you use! We developed our own staffing software that makes accepting referrals as easy as pressing a button! Therapist owned and operated! Discounts on CEUs, Theraguns, and more! Weekly educational tips! Choose your own territory! Giveaway contests! And much more!    What We Expect Of You:   Extremely organized Team player Responsive Excellent communication skills Competant with online technology Polite Extremely reliable Motivated    If that does not sound like you please do not apply. We are only looking for top quality therapists to see our patients. If that does sound like you we can't wait to speak!  Good luck on the application process we hope you're exactly who we're looking for!",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs/view/home-health-occupational-therapist-assistant-cota-at-california-therapy-services-3815830478?refId=rdjfNY%2BP5uJU3TEcEm5aIg%3D%3D&trackingId=J%2BRG1gISXQtNd3Vfk7cgNQ%3D%3D&position=12&pageNum=8&trk=public_jobs_jserp-result_search-card
